File Date,11/30/2017
NPA_ID,type_of_code,        ASSIGNABLE,EXPLANATION,RESERVED,ASSIGNED,ASSIGNMENT_DT,USE,LOCATION,COUNTRY,IN_SERVICE,IN_SERVICE_DT,STATUS,PLANNING_LETTERS,"NOTES",OVERLAY,OVERLAY_COMPLEX,PARENT_NPA_ID,SERVICE,TIME_ZONE,AREA_SERVED,MAP,IN_JEOPARDY,RELIEF_PLANNING_IN_PROGRESS,HOME_NPA_LOCAL_CALLS,HOME_NPA_TOLL_CALLS,FOREIGN_NPA_LOCAL_CALLS,FOREIGN_NPA_TOLL_CALLS,PERM_HNPA_LOCAL_CALLS,PERM_HNPA_TOLL_CALLS,PERM_HNPA_FOREIGN_LOCAL_CALLS,"DIALING_PLAN_NOTES"
318,General Purpose Code,Yes,,No,Yes,01-JAN-57,G,LA,US,Y,01-JAN-57,,,"",No,,,,C,,,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
319,General Purpose Code,Yes,,No,Yes,01-JAN-47,G,IA,US,Y,01-JAN-47,,253,"",No,,,,C,,253,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
320,General Purpose Code,Yes,,No,Yes,15-SEP-95,G,MN,US,Y,17-MAR-96,,IL95/09-007 IL96/01-017,"",No,,612,,C,,,No,No,7D,1+10D,7D,1+10D,NA,NA,NA,""
321,General Purpose Code,Yes,,No,Yes,10-FEB-99,G,FL,US,Y,01-NOV-99,,325 323 168,"",No,,407,,E,,,No,No,10D,1+10D,10D,1+10D,NA,NA,NA,"Home NPA local calls are 7D in Brevard County."
322,Easily Recognizable Code,Yes,,No,No,,N,,,N,,,,"",,,,,,,,,No,,,,,,,,""
323,General Purpose Code,Yes,,No,Yes,19-MAY-97,G,CA,US,Y,13-JUN-98,,494 080 062,"",Yes,213/323,213,,P,,494,No,No,1+10D,1+10D,1+10D,1+10D,NA,NA,NA,""
324,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
325,General Purpose Code,Yes,,No,Yes,13-MAR-02,G,TX,US,Y,05-APR-03,,322,"",No,,915,,C,,322,No,No,7D,1+10D,10D,1+10D,NA,NA,NA,""
326,General Purpose Code,Yes,,Yes,No,,G,,,N,,,,"",No,,,,,,,No,No,,,,,,,,""
327,General Purpose Code,Yes,,No,Yes,15-DEC-09,G,AR,US,N,,,437 400,"",Yes,327/870,870,,C,,400,No,No,10D,1+10D,10D,1+10D,,,,""
